first_name,last_name,team,dob,age,GK,RB,LB,CD,RWB,LWB,SW,DM,RM,LM,AM,RW,LW,FR,FOR,SS
David,Seaman,Arsenal,1963-09-19,32,89,56,56,50,50,50,59,64,59,59,60,53,53,52,40,42
Patrick,Vieira,Arsenal,1976-06-23,20,49,78,78,77,70,70,75,81,78,78,78,70,70,69,73,73
Martin,Keown,Arsenal,1966-07-24,30,45,75,75,76,56,56,64,64,55,55,52,46,46,49,47,45
Nigel,Winterburn,Arsenal,1963-12-11,32,46,71,71,70,62,62,65,62,56,56,54,54,54,57,49,48
Lee,Dixon,Arsenal,1964-03-17,32,47,74,74,74,67,67,69,65,60,60,58,58,58,61,54,53
Steve,Bould,Arsenal,1962-11-16,33,44,72,72,74,53,53,61,57,47,47,44,40,40,45,44,41
Tony,Adams,Arsenal,1966-10-10,29,48,77,77,80,56,56,64,61,50,50,47,42,42,47,50,46
David,Platt,Arsenal,1966-06-10,30,50,73,73,73,71,71,73,74,74,74,74,72,72,72,71,72
Ian,Wright,Arsenal,1963-11-03,32,51,57,57,53,67,67,68,64,68,68,70,75,75,78,82,80
Paul,Merson,Arsenal,1968-03-20,28,52,63,63,60,74,74,73,71,74,74,76,80,80,80,75,76
Dennis,Bergkamp,Arsenal,1969-05-18,27,57,63,63,59,72,72,73,72,76,76,78,82,82,85,85,85
Ray,Parlour,Arsenal,1973-03-07,23,47,49,49,45,60,60,61,63,66,66,69,71,71,69,62,65
John,Lukic,Arsenal,1960-12-11,35,74,45,45,41,40,40,46,55,52,52,53,46,46,45,37,42
Remi,Garde,Arsenal,1966-04-03,30,44,67,67,67,61,61,65,70,67,67,67,60,60,59,63,63
Glenn,Helder,Arsenal,1968-10-28,27,47,45,45,42,62,62,60,54,62,62,63,71,71,73,68,67
Paul,Shaw,Arsenal,1973-09-04,22,43,51,51,51,60,60,58,57,61,61,62,65,65,65,68,67
Stephen,Hughes,Arsenal,1976-09-18,19,48,60,60,58,60,60,63,64,63,63,64,63,63,63,68,67
Nicolas,Anelka,Arsenal,1979-03-14,17,44,49,49,47,58,58,58,53,56,56,57,63,63,66,70,67
Valur,Gislason,Arsenal,1977-09-08,18,44,68,68,66,56,56,62,66,60,60,60,54,54,54,54,54
Adrian,Clarke,Arsenal,1974-09-28,21,40,64,64,65,62,62,62,57,55,55,54,56,56,59,61,58
Scott,Marshall,Arsenal,1973-05-01,23,37,65,65,66,48,48,54,54,46,46,43,38,38,40,40,38
Ian,Selley,Arsenal,1974-06-14,22,43,60,60,58,63,63,65,66,67,67,68,68,68,67,66,66
Chris,Kiwomya,Arsenal,1969-12-02,26,44,48,48,46,57,57,58,52,56,56,57,63,63,66,68,65
Vince,Bartram,Arsenal,1968-08-07,27,73,41,41,37,36,36,42,47,42,42,43,39,39,41,33,35
Matthew,Rose,Arsenal,1975-09-24,20,42,67,67,66,64,64,68,70,68,68,68,64,64,61,59,59
Fernando,Nelson,Aston Villa,1971-11-05,24,46,74,74,74,58,58,64,61,53,53,51,47,47,50,48,46
Dwight,Yorke,Aston Villa,1971-11-03,24,51,55,55,52,63,63,63,59,62,62,64,69,69,73,78,75
Savo,Milosevic,Aston Villa,1973-09-02,22,45,50,50,50,58,58,57,51,53,53,53,61,61,67,71,67
Mark,Draper,Aston Villa,1970-11-11,25,46,64,64,61,62,62,66,69,69,69,70,66,66,67,68,69
Gareth,Southgate,Aston Villa,1970-09-03,25,45,75,75,76,60,60,66,63,56,56,54,51,51,55,52,50
Sasa,Curcic,Aston Villa,1972-02-14,24,47,53,53,49,62,62,64,65,68,68,71,73,73,73,73,74
Alan,Wright,Aston Villa,1971-09-28,24,46,69,69,69,62,62,65,59,54,54,52,53,53,56,50,48
Ugochuko,Ehiogu,Aston Villa,1972-11-03,23,41,73,73,75,55,55,61,58,50,50,47,43,43,47,47,44
Mark,Bosnich,Aston Villa,1972-01-13,24,81,45,45,39,44,44,51,55,51,51,53,51,51,50,39,42
Steve,Staunton,Aston Villa,1969-01-19,27,47,71,71,70,65,65,68,65,62,62,61,60,60,61,61,59
Andy,Townsend,Aston Villa,1963-07-23,33,47,67,67,64,69,69,70,72,72,72,73,72,72,71,70,71
Gareth,Farelley,Aston Villa,1975-08-28,20,41,65,65,66,56,56,59,61,56,56,56,51,51,51,57,56
Carl,Tiler,Aston Villa,1970-02-11,26,44,68,68,69,51,51,59,56,47,47,45,40,40,44,44,41
Michael,Oakes,Aston Villa,1973-10-30,22,73,41,41,36,38,38,46,50,47,47,49,44,44,45,35,38
Ian,Taylor,Aston Villa,1968-06-04,28,49,67,67,66,70,70,71,70,70,70,70,71,71,72,70,70
Julian,Joachim,Aston Villa,1974-09-12,21,46,46,46,41,59,59,58,50,55,55,57,65,65,70,70,67
Lee,Hendrie,Aston Villa,1977-05-18,19,36,39,39,38,47,47,46,42,46,46,47,52,52,54,58,56
Ricardo,Scimeca,Aston Villa,1975-06-13,21,40,61,61,62,50,50,55,51,46,46,44,43,43,47,48,45
Georgios,Donis,Blackburn,1969-10-29,26,46,51,51,48,63,63,63,62,66,66,68,73,73,74,71,71
Lars,Bohinen,Blackburn,1966-09-08,29,43,59,59,58,66,66,67,66,67,67,68,70,70,71,65,66
Colin,Hendry,Blackburn,1965-12-07,30,47,79,79,80,51,51,64,66,52,52,49,39,39,42,46,41
Graham,Le Saux,Blackburn,1968-10-07,27,47,73,73,72,70,70,71,67,65,65,64,65,65,67,65,64
Chris,Coleman,Blackburn,1970-06-10,26,45,68,68,70,55,55,60,58,51,51,49,46,46,48,48,45
Tim,Flowers,Blackburn,1967-02-03,29,81,51,51,46,44,44,51,56,52,52,52,46,46,48,44,46
Kevin,Gallacher,Blackburn,1966-11-23,29,46,52,52,50,59,59,60,58,60,60,61,64,64,67,69,68
Henning,Berg,Blackburn,1969-09-01,26,45,73,73,74,57,57,64,62,54,54,51,47,47,51,48,46
Chris,Sutton,Blackburn,1973-03-10,23,47,55,55,54,60,60,62,60,60,60,62,65,65,67,68,67
Tim,Sherwood,Blackburn,1969-02-06,27,41,67,67,67,62,62,66,70,68,68,68,63,63,63,67,67
Jason,Wilcox,Blackburn,1971-07-15,25,44,48,48,44,58,58,59,59,63,63,65,67,67,68,63,65
Jeff,Kenna,Blackburn,1970-08-27,25,43,64,64,63,59,59,61,59,56,56,55,55,55,55,48,48
Gary,Flitcroft,Blackburn,1972-12-06,23,40,54,54,52,61,61,63,64,67,67,68,68,68,68,69,69
Graham,Fenton,Blackburn,1974-05-22,22,49,46,46,45,53,53,54,44,46,46,46,54,54,62,67,61
Ian,Pearce,Blackburn,1974-05-07,22,40,66,66,65,51,51,57,57,50,50,49,45,45,47,55,51
Shay,Given,Blackburn,1976-04-20,20,77,48,48,42,44,44,50,57,55,55,57,51,51,49,38,43
Graham,Coughlan,Blackburn,1974-11-18,21,36,65,65,66,48,48,53,52,45,45,42,36,36,38,37,36
Per,Pedersen,Blackburn,1974-01-01,22,46,48,48,46,58,58,58,54,57,57,60,66,66,69,75,72
Nicky,Marker,Blackburn,1965-05-03,31,39,64,64,66,49,49,54,53,45,45,43,38,38,41,39,37
Marlon,Broomes,Blackburn,1977-11-28,18,40,63,63,63,57,57,61,57,52,52,51,50,50,53,49,48
Paul,Warhurst,Blackburn,1969-09-26,26,42,65,65,64,67,67,69,70,69,69,69,67,67,68,65,66
Niklas,Gudmundsson,Blackburn,1972-02-29,24,37,46,46,45,56,56,55,50,52,52,53,59,59,63,65,63
Matt,Holmes,Blackburn,1969-08-01,26,37,51,51,49,58,58,59,61,62,62,64,64,64,64,59,61
Stuart,Ripley,Blackburn,1967-11-20,28,42,44,44,41,53,53,54,54,58,58,60,62,62,62,61,61
Billy,McKinlay,Blackburn,1969-04-22,27,38,58,58,57,60,60,62,64,63,63,64,62,62,62,60,61
Adam,Reed,Blackburn,1975-02-18,21,38,70,70,71,51,51,56,54,46,46,43,38,38,41,41,39
John,McGinlay,Bolton,1964-04-08,32,45,54,54,53,57,57,59,57,56,56,58,60,60,63,69,66
John,Sheridan,Bolton,1964-10-01,31,44,58,58,56,62,62,64,67,66,66,67,67,67,67,57,60
Gerry,Taggart,Bolton,1970-10-18,25,42,68,68,69,54,54,59,58,51,51,48,43,43,44,41,40
Keith,Branagan,Bolton,1966-07-10,30,73,40,40,35,37,37,42,50,47,47,49,44,44,43,36,39
Scott,Sellars,Bolton,1965-11-27,30,44,56,56,53,61,61,63,65,66,66,67,67,67,67,61,63
Chris,Fairclough,Bolton,1964-04-12,32,39,67,67,68,52,52,59,57,48,48,46,42,42,45,42,40
Alan,Thompson,Bolton,1973-12-22,22,47,47,47,43,59,59,59,55,59,59,61,67,67,71,69,68
Andy,Todd,Bolton,1974-09-21,21,44,64,64,64,55,55,60,60,57,57,56,52,52,54,56,55
Nathan,Blake,Bolton,1972-01-27,24,42,48,48,46,55,55,56,53,55,55,56,61,61,65,67,65
Per,Frandsen,Bolton,1970-01-06,26,48,66,66,64,60,60,64,68,65,65,65,60,60,59,55,56
Jason,Kavanagh,Bolton,1971-11-23,24,42,63,63,62,55,55,58,56,50,50,49,47,47,49,41,41
Mixu,Paatelanien,Bolton,1967-02-03,29,49,52,52,51,60,60,60,57,60,60,61,64,64,67,69,67
Gavin,Ward,Bolton,1970-06-30,26,73,39,39,35,36,36,41,41,38,38,38,39,39,41,32,32
Stephen,McAnespie,Bolton,1972-02-01,24,35,58,58,59,50,50,55,58,53,53,53,47,47,47,48,48
Greg,Strong,Bolton,1975-09-05,20,39,59,59,59,53,53,55,53,49,49,48,48,48,49,44,43
Fabian,DeFreitas,Bolton,1972-07-28,24,49,46,46,43,54,54,55,51,54,54,55,60,60,64,63,61
James,Phillips,Bolton,1966-02-08,30,39,64,64,64,57,57,60,54,48,48,46,47,47,51,46,44
Nicky,Spooner,Bolton,1971-06-05,25,37,61,61,61,55,55,58,56,52,52,51,50,50,50,43,43
Stuart,Whittaker,Bolton,1975-01-02,21,43,43,43,39,54,54,54,52,56,56,58,63,63,64,58,58
Scott,Green,Bolton,1970-01-15,26,41,65,65,65,63,63,63,55,53,53,51,55,55,60,56,54
Jamie,Pollock,Bolton,1974-02-16,22,42,64,64,63,64,64,66,67,65,65,65,63,63,63,55,57
Gudni,Bergsson,Bolton,1965-07-21,31,40,66,66,68,51,51,58,55,47,47,45,41,41,45,44,41
David,Lee,Bolton,1967-11-05,28,46,49,49,46,60,60,60,58,62,62,64,68,68,69,64,65
George,Shaw,Bolton,1977-01-01,19,43,44,44,41,52,52,52,48,50,50,52,57,57,62,64,62
Michael,Johansen,Bolton,1972-07-22,24,46,54,54,52,62,62,63,62,64,64,66,69,69,70,66,67
Frode,Grodas,Chelsea,1975-01-01,21,78,46,46,42,41,41,49,54,49,49,50,46,46,45,41,42
Gianfranco,Zola,Chelsea,1966-07-05,30,57,57,57,52,72,72,71,72,78,78,81,85,85,86,85,86
Gianluca,Vialli,Chelsea,1964-07-09,32,48,58,58,56,59,59,62,64,65,65,66,65,65,66,72,71
Andy,Myers,Chelsea,1973-11-03,22,45,73,73,71,68,68,72,73,69,69,68,65,65,63,52,54
Roberto,Di Matteo,Chelsea,1970-05-29,26,48,72,72,71,69,69,71,77,75,75,75,70,70,67,66,69
Dan,Petrescu,Chelsea,1967-12-22,28,47,77,77,75,73,73,77,80,76,76,76,72,72,70,63,64
Mike,Duberry,Chelsea,1975-10-14,20,44,71,71,73,53,53,60,56,48,48,45,40,40,43,42,38
Franck,Leboeuf,Chelsea,1968-01-22,28,51,78,78,76,70,70,73,80,76,76,76,68,68,65,64,66
Craig,Burley,Chelsea,1971-09-24,24,45,59,59,57,64,64,66,68,70,70,72,71,71,70,70,71
Steve,Clarke,Chelsea,1963-08-29,32,45,73,73,71,64,64,68,67,61,61,59,56,56,57,47,47
Dennis,Wise,Chelsea,1966-12-16,29,45,72,72,70,70,70,73,75,74,74,74,71,71,70,68,69
Ruud,Gullit,Chelsea,1962-09-01,33,49,68,68,65,69,69,72,76,75,75,77,76,76,78,79,80
Scott,Minto,Chelsea,1971-08-06,24,45,74,74,73,66,66,70,72,68,68,67,62,62,60,51,53
Kevin,Hitchcock,Chelsea,1962-10-05,33,74,43,43,39,36,36,44,52,49,49,50,43,43,43,40,41
Mark,Hughes,Chelsea,1963-11-01,32,48,60,60,58,63,63,64,63,64,64,66,68,68,71,76,75
Erland,Johnsen,Chelsea,1967-04-05,29,44,70,70,72,54,54,61,60,51,51,48,44,44,47,44,42
Nick,Colgan,Chelsea,1973-09-19,22,67,38,38,35,37,37,40,43,41,41,42,41,41,41,34,36
Paul,Hughes,Chelsea,1976-04-19,20,48,70,70,68,64,64,69,71,68,68,68,63,63,63,67,66
Paul,Parker,Chelsea,1964-04-04,32,42,69,69,69,62,62,64,61,56,56,54,54,54,55,45,45
David,Rocastle,Chelsea,1967-05-02,29,42,68,68,68,68,68,69,69,68,68,68,66,66,67,69,68
David,Lee,Chelsea,1969-11-26,26,42,67,67,67,52,52,59,62,54,54,52,45,45,45,41,41
Mark,Stein,Chelsea,1966-01-28,30,44,54,54,53,60,60,61,61,62,62,63,64,64,66,67,66
Dimitri,Kharine,Chelsea,1968-08-16,27,79,51,51,45,44,44,51,58,53,53,54,47,47,47,37,40
Jacob,Kjeldberg,Chelsea,1969-10-21,26,41,67,67,68,51,51,58,57,49,49,47,42,42,44,43,41
Eddie,Newton,Chelsea,1971-12-13,24,44,70,70,69,63,63,69,75,70,70,70,63,63,60,58,59
Frank,Sinclair,Chelsea,1971-12-03,24,44,68,68,70,54,54,60,57,50,50,47,44,44,46,45,42
Richard,Shaw,Coventry,1968-09-11,27,39,66,66,67,52,52,58,55,47,47,45,42,42,44,41,39
Gary,McAllister,Coventry,1964-12-25,31,48,62,62,59,65,65,68,71,70,70,72,71,71,73,71,72
Eoin,Jess,Coventry,1970-12-13,25,48,57,57,54,61,61,63,67,68,68,69,68,68,68,65,67
Noel,Whelan,Coventry,1974-12-30,21,47,48,48,45,57,57,58,56,58,58,60,65,65,68,71,69
Steve,Orgrizovic,Coventry,1957-09-12,38,81,45,45,39,38,38,45,55,49,49,50,44,44,44,36,40
Brian,Borrows,Coventry,1960-12-20,35,40,65,65,64,58,58,61,61,56,56,54,52,52,53,44,45
John,Salako,Coventry,1969-02-11,27,45,51,51,47,64,64,65,62,66,66,68,74,74,77,71,71
Paul,Telfer,Coventry,1971-10-21,24,42,66,66,65,57,57,63,66,61,61,60,54,54,54,50,51
Dion,Dublin,Coventry,1969-04-22,27,43,59,59,59,50,50,56,57,52,52,53,49,49,52,66,61
Marcus,Hall,Coventry,1976-03-24,20,41,62,62,63,57,57,59,52,48,48,45,48,48,52,46,44
Gary,Breen,Coventry,1973-12-12,22,46,69,69,71,53,53,60,60,51,51,49,43,43,46,47,45
Gary,Gillespie,Coventry,1960-07-05,36,38,61,61,61,48,48,54,52,45,45,43,39,39,42,39,38
John,Filan,Coventry,1970-02-08,26,74,42,42,38,41,41,46,50,47,47,48,45,45,46,39,41
Kevin,Richardson,Coventry,1962-12-04,33,42,67,67,67,56,56,63,67,62,62,61,54,54,54,54,55
Gordon,Strachan,Coventry,1957-02-09,39,48,53,53,48,61,61,62,64,66,66,68,71,71,72,68,69
Peter,Ndlovu,Coventry,1973-02-25,23,46,54,54,53,60,60,60,53,55,55,55,61,61,67,69,65
Sam,Shilton,Coventry,1978-07-21,18,43,41,41,38,50,50,50,46,50,50,52,57,57,61,69,66
Alex,Evtuschok,Coventry,1973-08-12,22,46,69,69,70,59,59,64,60,55,55,53,52,52,55,66,60
Regis,Genaux,Coventry,1973-08-31,22,43,64,64,64,64,64,65,66,64,64,64,62,62,60,56,57
Rory,Donovan,Coventry,1968-01-01,28,37,58,58,58,49,49,55,58,52,52,51,46,46,46,45,46
Nii,Lamptey,Coventry,1974-12-10,21,47,45,45,44,54,54,54,49,53,53,54,60,60,63,67,64
Marquis,Isaias,Coventry,1963-10-18,32,41,54,54,52,64,64,64,63,66,66,67,70,70,70,67,68
David,Burrows,Coventry,1968-10-25,27,38,58,58,57,56,56,59,56,54,54,53,54,54,55,47,47
Willie,Boland,Coventry,1975-08-06,20,41,50,50,48,56,56,58,59,61,61,62,63,63,62,62,63
Carlos,Batista,Coventry,1972-12-20,23,40,54,54,52,62,62,63,62,64,64,66,67,67,69,67,67
Paul,Williams,Coventry,1971-03-26,25,37,62,62,62,48,48,53,50,44,44,42,39,39,42,39,37
Michael,O'Neill,Coventry,1969-07-05,27,42,67,67,65,56,56,62,67,61,61,61,54,54,53,52,52
Iyesden,Christie,Coventry,1976-11-14,19,39,42,42,41,51,51,50,46,50,50,52,56,56,59,64,61
Liam,Daish,Coventry,1968-09-23,27,42,70,70,71,56,56,62,61,54,54,52,48,48,50,48,47
Terry,Phelan,Everton,1967-03-16,29,42,67,67,66,64,64,66,62,59,59,58,59,59,60,50,49
Nick,Barmby,Everton,1974-02-11,22,44,58,58,55,62,62,64,63,65,65,66,68,68,71,73,72
Gary,Speed,Everton,1969-09-08,26,46,59,59,57,66,66,68,70,71,71,73,74,74,75,74,75
Neville,Southall,Everton,1958-09-16,37,86,52,52,47,43,43,51,59,52,52,53,45,45,45,35,39
Earle,Barrett,Everton,1967-04-28,29,43,65,65,66,60,60,61,56,53,53,51,53,53,54,48,46
Dave,Watson,Everton,1961-11-20,34,44,72,72,72,55,55,62,62,53,53,51,46,46,49,45,44
Duncan,Ferguson,Everton,1971-12-27,24,48,62,62,61,56,56,62,63,59,59,60,59,59,63,71,68
Joe,Parkinson,Everton,1971-06-11,25,40,67,67,67,57,57,62,64,59,59,57,53,53,53,52,52
Tony,Grant,Everton,1974-11-14,21,43,67,67,65,68,68,69,69,68,68,67,67,67,67,59,61
Craig,Short,Everton,1968-06-25,28,44,69,69,69,52,52,59,58,50,50,48,42,42,44,43,41
Claus,Thomsen,Everton,1970-05-31,26,49,72,72,70,66,66,71,76,72,72,72,66,66,65,61,63
Marc,Hottiger,Everton,1967-11-07,28,43,65,65,65,63,63,64,62,60,60,58,59,59,60,54,54
Graham,Stuart,Everton,1970-10-24,25,44,61,61,59,65,65,66,68,69,69,70,70,70,70,68,70
Paul,Rideout,Everton,1964-08-14,31,42,54,54,54,58,58,59,54,54,54,55,59,59,63,67,64
David,Unsworth,Everton,1973-10-16,22,42,68,68,70,54,54,60,59,51,51,49,45,45,47,44,43
Paul,Gerrard,Everton,1973-01-22,23,77,47,47,43,43,43,51,58,54,54,56,49,49,49,39,43
John,Hills,Everton,1978-04-21,18,38,60,60,60,53,53,56,54,50,50,49,46,46,47,42,42
