first_name,last_name,team,league,nationality,position,shirt,dob,age,skill_avg
David,Seaman,Arsenal,English Premier League,English,GK,1,1963-09-19,32,62.25
Patrick,Vieira,Arsenal,English Premier League,French,DM,4,1976-06-23,20,62.75
Martin,Keown,Arsenal,English Premier League,English,CD,14,1966-07-24,30,56.25
Nigel,Winterburn,Arsenal,English Premier League,English,LB,3,1963-12-11,32,58.33
Lee,Dixon,Arsenal,English Premier League,English,RB,2,1964-03-17,32,60.92
Steve,Bould,Arsenal,English Premier League,English,CD,5,1962-11-16,33,54.58
Tony,Adams,Arsenal,English Premier League,English,CD,6,1966-10-10,29,59.33
David,Platt,Arsenal,English Premier League,English,AM,7,1966-06-10,30,64.29
Ian,Wright,Arsenal,English Premier League,English,FOR,8,1963-11-03,32,65.12
Paul,Merson,Arsenal,English Premier League,English,AM,9,1968-03-20,28,65.79
Dennis,Bergkamp,Arsenal,English Premier League,Dutch,FOR,10,1969-05-18,27,68.25
Ray,Parlour,Arsenal,English Premier League,English,RM,15,1973-03-07,23,56.67
John,Lukic,Arsenal,English Premier League,English,GK,24,1960-12-11,35,54.0
Remi,Garde,Arsenal,English Premier League,French,SW,19,1966-04-03,30,56.12
Glenn,Helder,Arsenal,English Premier League,Dutch,LW,11,1968-10-28,27,55.38
Paul,Shaw,Arsenal,English Premier League,English,FOR,27,1973-09-04,22,55.5
Stephen,Hughes,Arsenal,English Premier League,English,AM,28,1976-09-18,19,57.29
Nicolas,Anelka,Arsenal,English Premier League,French,FOR,36,1979-03-14,17,55.08
Valur,Gislason,Arsenal,English Premier League,Icelandic,DM,23,1977-09-08,18,56.67
Adrian,Clarke,Arsenal,English Premier League,English,LM,29,1974-09-28,21,50.92
Scott,Marshall,Arsenal,English Premier League,English,CD,25,1973-05-01,23,49.04
Ian,Selley,Arsenal,English Premier League,English,AM,22,1974-06-14,22,57.5
Chris,Kiwomya,Arsenal,English Premier League,English,FOR,20,1969-12-02,26,55.71
Vince,Bartram,Arsenal,English Premier League,English,GK,13,1968-08-07,27,50.75
Matthew,Rose,Arsenal,English Premier League,English,LM,31,1975-09-24,20,56.25
Gavin,McGowen,Arsenal,English Premier League,English,LB,30,1976-01-16,20,55.29
Fernando,Nelson,Aston Villa,English Premier League,Portuguese,RB,15,1971-11-05,24,57.5
Dwight,Yorke,Aston Villa,English Premier League,Trinidadian,FOR,10,1971-11-03,24,62.96
Savo,Milosevic,Aston Villa,English Premier League,Serbian,FOR,9,1973-09-02,22,57.62
Mark,Draper,Aston Villa,English Premier League,English,AM,8,1970-11-11,25,60.12
Gareth,Southgate,Aston Villa,English Premier League,English,CD,4,1970-09-03,25,58.5
Sasa,Curcic,Aston Villa,English Premier League,Yugoslavian,AM,26,1972-02-14,24,59.33
Alan,Wright,Aston Villa,English Premier League,English,LB,14,1971-09-28,24,56.54
Ugochuko,Ehiogu,Aston Villa,English Premier League,English,CD,16,1972-11-03,23,55.92
Mark,Bosnich,Aston Villa,English Premier League,Australian,GK,1,1972-01-13,24,57.54
Steve,Staunton,Aston Villa,English Premier League,Irish,CD,3,1969-01-19,27,59.0
Andy,Townsend,Aston Villa,English Premier League,Irish,AM,6,1963-07-23,33,61.33
Gareth,Farelley,Aston Villa,English Premier League,Irish,DM,19,1975-08-28,20,51.71
Carl,Tiler,Aston Villa,English Premier League,English,CD,18,1970-02-11,26,51.29
Michael,Oakes,Aston Villa,English Premier League,English,GK,13,1973-10-30,22,51.58
Ian,Taylor,Aston Villa,English Premier League,English,AM,7,1968-06-04,28,62.25
Julian,Joachim,Aston Villa,English Premier League,English,FOR,12,1974-09-12,21,53.5
Lee,Hendrie,Aston Villa,English Premier League,English,FOR,17,1977-05-18,19,43.96
Ricardo,Scimeca,Aston Villa,English Premier League,English,CD,20,1975-06-13,21,50.96
Gary,Charles,Aston Villa,English Premier League,English,RB,2,1970-04-13,26,56.75
Georgios,Donis,Blackburn,English Premier League,Greek,RW,21,1969-10-29,26,57.71
Lars,Bohinen,Blackburn,English Premier League,Norwegian,AM,22,1966-09-08,29,56.92
Colin,Hendry,Blackburn,English Premier League,Scottish,CD,5,1965-12-07,30,57.67
Graham,Le Saux,Blackburn,English Premier League,English,LB,6,1968-10-07,27,62.29
Chris,Coleman,Blackburn,English Premier League,Welsh,CD,2,1970-06-10,26,54.17
Tim,Flowers,Blackburn,English Premier League,English,GK,1,1967-02-03,29,55.71
Kevin,Gallacher,Blackburn,English Premier League,Scottish,FOR,8,1966-11-23,29,54.96
Henning,Berg,Blackburn,English Premier League,Norwegian,RB,20,1969-09-01,26,57.54
Chris,Sutton,Blackburn,English Premier League,English,FOR,16,1973-03-10,23,57.0
Tim,Sherwood,Blackburn,English Premier League,English,AM,4,1969-02-06,27,58.17
Jason,Wilcox,Blackburn,English Premier League,English,LW,11,1971-07-15,25,56.0
Jeff,Kenna,Blackburn,English Premier League,Irish,LB,3,1970-08-27,25,54.67
Gary,Flitcroft,Blackburn,English Premier League,English,AM,23,1972-12-06,23,54.71
Graham,Fenton,Blackburn,English Premier League,English,FOR,14,1974-05-22,22,53.42
Ian,Pearce,Blackburn,English Premier League,English,CD,25,1974-05-07,22,51.5
Shay,Given,Blackburn,English Premier League,English,GK,13,1976-04-20,20,55.42
Graham,Coughlan,Blackburn,English Premier League,English,CD,26,1974-11-18,21,46.33
Per,Pedersen,Blackburn,English Premier League,Danish,FOR,9,1974-01-01,22,56.29
Nicky,Marker,Blackburn,English Premier League,English,CD,12,1965-05-03,31,48.83
Marlon,Broomes,Blackburn,English Premier League,English,CD,35,1977-11-28,18,50.79
Paul,Warhurst,Blackburn,English Premier League,English,AM,24,1969-09-26,26,55.58
Niklas,Gudmundsson,Blackburn,English Premier League,Swedish,FOR,18,1972-02-29,24,47.92
Matt,Holmes,Blackburn,English Premier League,English,AM,15,1969-08-01,26,51.38
Stuart,Ripley,Blackburn,English Premier League,English,RW,7,1967-11-20,28,52.33
Billy,McKinlay,Blackburn,English Premier League,Scottish,AM,17,1969-04-22,27,52.46
Adam,Reed,Blackburn,English Premier League,English,CD,19,1975-02-18,21,50.04
Gary,Croft,Blackburn,English Premier League,English,CD,34,1974-02-17,22,50.96
John,McGinlay,Bolton,English First Division,Scottish,FOR,10,1964-04-08,32,57.33
John,Sheridan,Bolton,English First Division,Irish,AM,16,1964-10-01,31,56.62
Gerry,Taggart,Bolton,English First Division,English,CD,4,1970-10-18,25,50.79
Keith,Branagan,Bolton,English First Division,English,GK,1,1966-07-10,30,51.71
Scott,Sellars,Bolton,English First Division,English,LM,11,1965-11-27,30,55.08
Chris,Fairclough,Bolton,English First Division,English,CD,5,1964-04-12,32,49.88
Alan,Thompson,Bolton,English First Division,English,RM,18,1973-12-22,22,55.88
Andy,Todd,Bolton,English First Division,English,LB,24,1974-09-21,21,56.38
Nathan,Blake,Bolton,English First Division,Welsh,FOR,22,1972-01-27,24,51.08
Per,Frandsen,Bolton,English First Division,Danish,AM,25,1970-01-06,26,56.62
Jason,Kavanagh,Bolton,English First Division,English,RB,21,1971-11-23,24,51.12
Mixu,Paatelanien,Bolton,English First Division,Finnish,FOR,12,1967-02-03,29,56.17
Gavin,Ward,Bolton,English First Division,English,GK,13,1970-06-30,26,50.08
Stephen,McAnespie,Bolton,English First Division,Scottish,DM,8,1972-02-01,24,48.58
Greg,Strong,Bolton,English First Division,English,LB,23,1975-09-05,20,49.29
Fabian,DeFreitas,Bolton,English First Division,Dutch,FOR,9,1972-07-28,24,52.5
James,Phillips,Bolton,English First Division,English,RB,14,1966-02-08,30,49.92
Nicky,Spooner,Bolton,English First Division,English,CD,15,1971-06-05,25,49.08
Stuart,Whittaker,Bolton,English First Division,English,LM,19,1975-01-02,21,50.67
Scott,Green,Bolton,English First Division,English,RB,2,1970-01-15,26,55.25
Jamie,Pollock,Bolton,English First Division,English,AM,29,1974-02-16,22,54.62
Gudni,Bergsson,Bolton,English First Division,Icelandic,CD,3,1965-07-21,31,50.71
David,Lee,Bolton,English First Division,English,RM,7,1967-11-05,28,55.08
George,Shaw,Bolton,English First Division,Scottish,FOR,20,1977-01-01,19,52.08
Michael,Johansen,Bolton,English First Division,Danish,AM,26,1972-07-22,24,58.21
Scott,Taylor,Bolton,English First Division,English,FOR,27,1976-05-05,20,49.12
Frode,Grodas,Chelsea,English Premier League,Norwegian,GK,30,1975-01-01,21,56.46
Gianfranco,Zola,Chelsea,English Premier League,Italian,FOR,25,1966-07-05,30,63.0
Gianluca,Vialli,Chelsea,English Premier League,Italian,FOR,9,1964-07-09,32,59.5
Andy,Myers,Chelsea,English Premier League,English,LWB,8,1973-11-03,22,56.33
Roberto,Di Matteo,Chelsea,English Premier League,Italian,DM,16,1970-05-29,26,56.5
Dan,Petrescu,Chelsea,English Premier League,Romanian,RWB,2,1967-12-22,28,61.29
Mike,Duberry,Chelsea,English Premier League,English,CD,12,1975-10-14,20,52.88
