team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
Arsenal,The Gunners,ARS,English Premier League,Highbury,Avenell Road,London,38500,Bruce Rioch,False
Aston Villa,The Villa,AST,English Premier League,Villa Park,Trinity Road,,39500,Brian Little,False
Blackburn,The Rovers,BLK,English Premier League,Ewood Park,Nuttall Street,,31800,Ray Harford,False
Bolton,The Trotters,BOL,English First Division,Burnden Park,Bolton,,22616,Colin Todd,True
Chelsea,The Blues,CHE,English Premier League,Stamford Bridge,Fulham Road,London,31500,Ruud Gullit,True
Coventry,The Sky Blues,COV,English Premier League,Highfield Road,King Richard Street,,23000,Ron Atkinson,False
Everton,The Toffeemen,EVE,English Premier League,Goodison Park,Liverpool,Merseyside,40000,Joe Royle,False
Leeds,The Whites,LEE,English Premier League,Elland Road,West Yorkshire,Yorkshire,40000,Howard Wilkinson,False
Liverpool,The Reds,LIV,English Premier League,Anfield,Liverpool,Merseyside,40500,Roy Evans,False
Manchester C,The Blues,MNC,English First Division,Maine Road,Moss Side,Lancashire,32000,Alan Ball,False
Manchester U,The Red Devils,MNU,English Premier League,Old Trafford,Sir Matt Busby Way - Old Trafford,Lancashire,55000,Alex Ferguson,False
Middlesbrough,The Boro,MID,English Premier League,The Cellnet Riverside Stadium,Middlesbrough,Cleveland,30000,Bryan Robson,True
Newcastle,The Magpies,NEW,English Premier League,St James' Park,Newcastle-Upon-Tyne,,36518,Kevin Keegan,False
Nottingham F,The Reds,NTF,English Premier League,The City Ground,Nottingham,Nottinghamshire,30557,Frank Clark,False
QPR,The Rangers,QPR,English First Division,Loftus Road,South Africa Road,London,19000,Ray Wilkins,False
Sheffield W,The Owls,SHW,English Premier League,Hillsborough,Sheffield,,36020,David Pleat,False
Southampton,The Saints,SOU,English Premier League,The Dell,Milton Road,,15000,Graeme Souness,False
Tottenham,The Spurs,TOT,English Premier League,White Hart Lane,748 High Road,London,33000,Gerry Francis,False
West Ham,The Hammers,WHU,English Premier League,Upton Park,Boleyn Ground - Green Street,London,26014,Harry Redknapp,False
